Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Churn,Customer Value
8,0,38,0,4370,71,5,17,3,1,1,0,132.6
0,0,39,0,318,5,7,4,2,1,2,0,17.46
10,0,37,0,2453,60,359,24,3,1,1,0,181.29
10,0,38,0,4198,66,1,35,1,1,1,0,252.48
3,0,38,0,2393,58,2,33,1,1,1,0,144.78
11,0,38,1,3775,82,32,28,3,1,1,0,122.85
4,0,38,0,2360,39,285,18,3,1,1,0,156.3
13,0,37,2,9115,121,144,43,3,1,1,0,316.65
7,0,38,0,13773,169,0,44,3,1,1,0,413.19
7,0,38,1,4515,83,2,25,3,1,1,0,136.05
6,0,38,0,5918,95,7,12,3,1,1,0,179.64
9,0,38,0,2238,54,8,17,3,1,2,0,69.54
25,0,38,3,15140,225,54,32,3,1,1,0,470.4
4,0,38,1,3095,27,483,8,3,1,1,0,237.75
9,0,37,0,15485,182,150,30,2,1,1,0,764.325
3,0,37,1,6500,86,186,26,3,1,1,0,250.8
0,0,37,0,875,14,0,11,2,1,2,1,39.375
2,0,38,0,710,14,13,8,3,1,2,0,25.2
0,0,37,0,0,0,0,0,2,1,2,1,0
3,0,37,0,7508,127,384,43,2,1,1,0,510.66
7,0,37,1,11465,154,11,47,4,1,1,0,173.625
8,0,37,1,6718,75,108,37,2,1,1,0,350.91
23,1,33,0,955,47,16,17,2,1,2,1,50.175
21,1,36,8,10435,93,1,42,5,2,1,0,52.225
13,1,36,1,5818,98,26,24,2,1,1,1,273.51
1,0,34,0,2840,22,0,14,3,1,1,0,85.2
9,0,35,0,2990,41,9,16,3,1,2,1,92.4
9,1,36,0,2268,44,34,31,3,1,2,1,78.24
0,0,36,0,133,2,0,2,3,1,2,1,3.99
1,0,36,0,1668,25,0,6,3,1,1,0,50.04
3,0,33,1,6785,97,14,22,5,1,1,0,34.625
0,1,36,0,628,7,9,4,4,1,2,1,10.77
0,0,36,1,338,4,4,2,5,1,1,0,1.89
25,0,31,3,16075,238,0,80,2,2,1,0,723.375
6,0,34,3,6965,116,271,33,2,2,1,0,435.375
2,0,36,0,3718,82,2,28,2,1,1,0,168.21
3,0,35,0,1665,44,38,20,3,1,2,0,61.35
6,0,36,0,2780,53,175,23,2,1,1,0,203.85
4,0,27,1,1315,36,193,11,2,2,1,0,146.025
4,0,26,0,1568,39,30,68,4,1,1,0,28.02
11,0,27,0,700,25,10,7,2,1,2,0,36
0,0,26,0,825,10,21,3,4,1,2,1,15.525
10,0,25,0,1225,32,19,13,2,1,1,0,63.675
2,0,25,0,3225,61,8,23,3,1,1,0,99.15
2,0,18,0,1695,26,28,14,2,1,1,0,88.875
16,0,17,1,6393,141,85,42,2,2,1,0,325.935
12,0,15,0,8933,171,73,40,4,1,1,0,144.945
8,0,16,3,2853,45,31,19,3,2,1,0,94.89
2,0,9,1,4390,40,215,10,3,1,1,0,196.2
3,0,9,1,1488,19,0,7,3,1,1,1,44.64
11,0,40,1,4430,74,10,19,3,1,1,0,135.9
3,0,41,1,378,8,12,6,3,1,1,0,14.94
13,0,39,1,2513,63,364,26,3,1,1,0,184.59
13,0,40,1,4258,69,6,37,1,1,1,0,259.08
6,0,40,1,2453,61,7,35,2,1,1,0,113.535
14,0,40,2,3835,85,37,30,3,2,1,0,126.15
7,0,40,1,2420,42,290,20,3,1,1,0,159.6
16,0,39,3,9175,124,149,45,3,1,1,0,319.95
10,0,40,1,13833,172,5,46,3,1,1,0,416.49
10,0,40,2,4575,86,7,27,3,1,1,0,139.35
9,0,40,1,5978,98,12,14,3,1,1,0,182.94
12,0,40,1,2298,57,13,19,3,1,1,0,72.84
28,0,40,4,15200,228,59,34,3,1,1,0,473.7
7,0,40,2,3155,30,488,10,3,1,1,0,241.05
12,0,39,1,15545,185,155,32,2,1,1,0,769.275
6,0,39,2,6560,89,191,28,3,1,1,0,254.1
3,0,39,1,935,17,5,13,2,1,1,0,44.325
5,0,40,1,770,17,18,10,3,1,1,0,28.5
3,1,39,1,60,3,5,2,2,1,1,1,4.95
6,0,39,1,7568,130,389,45,3,1,1,0,343.74
10,0,39,2,11525,157,16,49,4,2,1,0,175.275
11,0,39,2,6778,78,113,39,2,1,1,0,355.86
26,1,35,1,1015,50,21,19,3,1,1,1,36.75
24,1,38,9,10495,96,6,44,5,2,1,0,52.775
16,0,38,2,5878,101,31,26,2,1,1,0,278.46
4,0,36,1,2900,25,5,16,3,1,1,0,88.5
12,0,37,1,3050,44,14,18,3,1,1,1,95.7
12,1,38,1,2328,47,39,33,3,1,1,1,81.54
3,0,38,1,193,5,5,4,3,1,1,1,7.29
4,0,38,1,1728,28,5,8,4,1,1,0,26.67
6,0,35,2,6845,100,19,24,5,1,1,0,35.175
3,0,38,1,688,10,14,6,4,1,1,1,12.42
3,0,38,2,398,7,9,4,5,1,1,0,2.44
28,0,33,4,16135,241,5,82,2,1,1,0,728.325
9,1,36,4,7025,119,276,35,3,2,1,0,293.55
5,0,38,1,3778,85,7,30,3,1,1,0,115.44
6,0,37,1,1725,47,43,22,3,1,1,0,64.65
9,0,38,1,2840,56,180,25,2,1,1,0,208.8
7,0,29,2,1375,39,198,13,3,2,1,0,100.65
7,0,28,1,1628,42,35,70,4,1,1,0,29.67
14,0,29,1,760,28,15,9,3,1,1,0,27.3
3,0,28,1,885,13,26,5,4,1,1,0,17.175
13,0,27,1,1285,35,24,15,2,1,1,0,68.625
5,0,27,1,3285,64,13,25,3,1,1,0,102.45
5,0,20,1,1755,29,33,16,2,1,1,0,93.825
19,0,19,2,6453,144,90,44,2,2,1,0,330.885
15,0,17,1,8993,174,78,42,5,1,1,0,48.865
11,0,18,4,2913,48,36,21,3,1,1,0,98.19
5,0,11,2,4450,43,220,12,3,1,1,0,199.5
6,1,11,2,1548,22,5,9,3,1,1,1,47.94
5,0,36,0,4310,68,0,15,2,1,1,0,193.95
0,0,37,0,258,2,2,2,2,1,2,0,12.51
7,0,35,0,2393,57,354,22,2,1,1,0,266.985
7,0,36,0,4138,63,0,33,1,1,1,0,248.28
0,0,36,0,2333,55,0,31,1,1,1,0,139.98
8,0,36,0,3715,79,27,26,3,1,1,0,119.55
1,0,36,0,2300,36,280,16,3,1,1,0,153
10,0,35,1,9055,118,139,41,3,1,1,0,313.35
4,0,36,0,13713,166,0,42,3,1,1,0,411.39
4,0,36,0,4455,80,0,23,3,1,1,0,133.65
3,0,36,0,5858,92,2,10,2,1,1,0,264.51
6,1,36,0,2178,51,3,15,3,1,2,0,66.24
22,0,36,2,15080,222,49,30,3,1,1,0,467.1
1,0,36,0,3035,24,478,6,3,1,1,0,234.45
6,0,35,0,15425,179,145,28,2,1,1,0,759.375
0,0,35,0,6440,83,181,24,3,1,1,0,247.5
0,0,35,0,815,11,0,9,2,1,2,0,36.675
